기준 년 코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2020,2,A,골목상권,1000602,초원로16길,3124099,7,11731959526,3169882999,1394466922,840105111,1577673338,1910566507,416884715,355054554,1581784288,485541092
2020,2,A,골목상권,1000601,초록마을로8길,2367803,5,13912346929,3350622562,1670529570,980120055,1666457385,2435641973,492618662,403815110,2324822037,587719575
2020,2,A,골목상권,1000600,초록마을로3길,2461216,6,11718245664,2780736444,1419344762,876983563,1387785382,2061103798,445156343,342341985,1909297804,495495583
2020,2,A,골목상권,1000599,월정로20길,2428145,5,13798051539,3255191884,1703133798,1092407583,1657145576,2422969345,620935583,400143805,2079823371,566300594
2020,2,A,골목상권,1000598,우장산로6길,3228138,7,10009591772,2366420671,1218450261,694211486,1176402047,1727960142,379640653,278584851,1741235271,426686390
2020,2,A,골목상권,1000597,양천로73가길,4090812,8,9076593994,2241194996,1100379367,627825055,1084140760,1499466930,347742551,257018914,1535309328,383516093
2020,2,A,골목상권,1000596,양천로71길,4103617,8,9631515040,2398775044,1158841954,646289013,1152511300,1572483114,353055644,271366735,1670750879,407441357
2020,2,A,골목상권,1000595,양천로49길,3626186,7,2829327829,705647560,347310868,206888156,350631963,479272597,110356263,81022133,424597364,123600925
2020,2,A,골목상권,1000594,양천로26길,3252026,7,6977089835,1875344800,826495227,493474327,924490484,1115619141,257351002,207338271,992690864,284285719
2020,2,A,골목상권,1000593,양천로24길,2920545,6,10903437914,2947729796,1298383482,781738269,1470735993,1763960962,399438717,326334671,1468287452,446828572
2020,2,A,골목상권,1000592,양천로24가길,2897277,6,10607234766,2836755177,1270315880,761057684,1415265747,1731085968,397657904,314957722,1444254058,435884626
2020,2,A,골목상권,1000591,양천로14길,2763312,6,10684679490,2930491862,1276299692,754111940,1457021311,1695253724,398864391,318434795,1416709950,437491825
2020,2,A,골목상권,1000590,방화대로6라길,3283428,7,3681943510,1002795928,444284167,265216525,489217771,607469376,124391471,114283969,475174126,159110177
2020,2,A,골목상권,1000589,방화대로21길,2870726,6,8115826430,2235107272,974684888,600429846,1102956410,1306446367,293420310,252744414,1008557848,341479075
2020,2,A,골목상권,1000588,등촌로5길,2485990,6,10438202941,2664268912,1252431819,749283673,1319991420,1757889438,375204676,312148842,1571619460,435364701
2020,2,A,골목상권,1000587,등촌로55길,2883087,6,9024106186,2129841922,1103574213,685165189,1066048616,1555541927,389003405,259135589,1469846000,365949325
2020,2,A,골목상권,1000586,등촌로51길,2870617,6,7899024506,1931271723,958751389,584023439,965697745,1356974957,311806217,230635653,1232380699,327482684
2020,2,A,골목상권,1000585,등촌로39길,3347770,7,7438509918,1909248898,900158111,531700929,959690055,1264933049,265429425,218474855,1067824973,321049623
2020,2,A,골목상권,1000584,등촌로13길,2498268,6,11291988433,2827687070,1363778304,805384080,1410753208,1927427541,412827839,331238400,1737496818,475395173
2020,2,A,골목상권,1000583,남부순환로11길,3027873,7,5665406575,1555968177,678793383,409991480,754191161,918581332,189442459,178908607,737749897,241780079
2020,2,A,골목상권,1000582,까치산로4길,2427630,5,15943709862,3790418456,1921136398,1142706583,1889537464,2821719438,571591861,463347685,2666512919,676739058
2020,2,A,골목상권,1000581,국회대로7길,2510153,6,10307208086,2642399515,1246726156,750598859,1324035316,1745779780,401248608,306542198,1464087918,425789736
2020,2,A,골목상권,1000580,공항대로8길,2985292,7,6040481019,1654342145,726125309,451884547,794591791,970270615,209070629,195198168,781557303,257440512
2020,2,A,골목상권,1000579,공항대로61길,3577461,7,10290282967,2455350031,1255144934,754373491,1207885552,1739810361,431605522,292126392,1731025314,422961370
2020,2,A,골목상권,1000578,공항대로59다길,4085339,8,11484455933,2756470493,1398066065,823964416,1359699180,1951928375,460480238,323711902,1928823940,481311324
2020,2,A,골목상권,1000577,공항대로59길,3426399,7,10985747962,2619035601,1341168408,808802082,1283363745,1858330384,464047415,313346223,1847361042,450293062
2020,2,A,골목상권,1000576,공항대로55길,3215254,7,7722342129,1897077926,939546790,563963928,924428302,1278202775,322108596,223831130,1260173608,313009074
2020,2,A,골목상권,1000575,공항대로42길,3434052,7,5644683860,1339393852,690735467,404313718,673107419,981934901,220240161,157500987,936046381,241410974
2020,2,A,골목상권,1000574,공항대로38길,4437798,8,4141531901,976590851,500377897,290355486,487370846,721178169,151419518,115509604,721025294,177704236
2020,2,A,골목상권,1000573,곰달래로60길,2833945,6,8554340070,2165561821,1039079183,622705058,1078903969,1449673314,332840648,253285478,1256077716,356212883
2020,2,A,골목상권,1000572,곰달래로53길,2373807,5,12038042566,2992415406,1450173366,865768576,1501743058,2078740467,441897180,353292271,1849697975,504314267
2020,2,A,골목상권,1000571,곰달래로47길,2393448,5,12457216984,3055914838,1500000610,895843936,1537192065,2170809366,462158806,363368092,1951479932,520449339
2020,2,A,골목상권,1000570,곰달래로31길,2428437,5,16363257072,3937026245,1976214862,1192504458,2003081100,2919253960,606313840,474940073,2563765625,690156909
2020,2,A,골목상권,1000569,곰달래로25길,2499778,6,13370556128,3163575445,1633048590,1011832703,1620850112,2404517235,526661438,387355980,2056484723,566229902
2020,2,A,골목상권,1000568,개화동로25길,2654083,6,6520495548,1783328884,785307778,478347021,881474367,1048786717,243279022,200182499,826668658,273120602
2020,2,A,골목상권,1000567,개화동로23길,2616514,6,10011913142,2738401445,1196142168,716856843,1359506454,1600885775,365274788,302744886,1317571664,414529119
2020,2,A,골목상권,1000566,강서로8길,2495091,6,13989206093,3382993047,1709076296,1061288222,1710700878,2447897958,579382287,407475687,2110467422,579924296
2020,2,A,골목상권,1000565,강서로5라길,2441731,6,12363267973,3140096408,1489318975,889688139,1572706591,2106518104,470014317,365242691,1818542682,511140066
2020,2,A,골목상권,1000564,강서로5나길,2458281,6,14322583389,3324168305,1778392719,1161751168,1688345075,2524454687,674267862,414717843,2172214285,584271445
2020,2,A,골목상권,1000563,강서로5가길,2534644,6,13667275567,3136153266,1708766982,1105078670,1603585372,2435565746,654347401,391693146,2071333348,560751636
